Lft_TR, Rgt_TR, Avg_TR, spd
873.57,905.24,889.41,240
827.82,851.71,839.77,220
788.06,765.01,776.53,200
747.22,761.39,754.3,180
681.96,684.18,683.07,160
614.72,661.39,638.05,140
506.67,543.34,525.01,120
377.77,393.05,385.41,100
150.83,137.5,144.16,80
0.83,0.83,0.83,60
